name,lat,lng,street,city,type,district,place_id,place_details,rating,reviews,size_category,rating_category
Coop Supermarkt Glattbrugg,47.43440380000001,8.5669302,Schaffhauserstrasse 124,Opfikon,Coop,Bülach,ChIJMbmY4gWgmkcRpormKuSjyTs,"{'formatted_address': 'Schaffhauserstrasse 124, 8152 Opfikon, Switzerland', 'name': 'Coop Supermarkt Glattbrugg', 'opening_hours': {'open_now': True, 'periods': [{'close': {'day': 1, 'time': '2000'}, 'open': {'day': 1, 'time': '0700'}}, {'close': {'day': 2, 'time': '2000'}, 'open': {'day': 2, 'time': '0700'}}, {'close': {'day': 3, 'time': '2000'}, 'open': {'day': 3, 'time': '0700'}}, {'close': {'day': 4, 'time': '2000'}, 'open': {'day': 4, 'time': '0700'}}, {'close': {'day': 5, 'time': '2000'}, 'open': {'day': 5, 'time': '0700'}}, {'close': {'day': 6, 'time': '2000'}, 'open': {'day': 6, 'time': '0700'}}], 'weekday_text': ['Monday: 7:00\u202fAM\u2009–\u20098:00\u202fPM', 'Tuesday: 7:00\u202fAM\u2009–\u20098:00\u202fPM', 'Wednesday: 7:00\u202fAM\u2009–\u20098:00\u202fPM', 'Thursday: 7:00\u202fAM\u2009–\u20098:00\u202fPM', 'Friday: 7:00\u202fAM\u2009–\u20098:00\u202fPM', 'Saturday: 7:00\u202fAM\u2009–\u20098:00\u202fPM', 'Sunday: Closed']}, 'rating': 4.2, 'user_ratings_total': 398}",4.2,398.0,Medium,Medium
Coop Supermarkt Dietlikon Bahnhofstrasse,47.4220714,8.618797299999999,Bahnhofstrasse 41,Dietlikon,Coop,Bülach,ChIJOVja0cehmkcRJuFjqwDQZSc,"{'formatted_address': 'Bahnhofstrasse 41, 8305 Dietlikon, Switzerland', 'name': 'Coop Supermarkt Dietlikon Bahnhofstrasse', 'opening_hours': {'open_now': True, 'periods': [{'close': {'day': 1, 'time': '2000'}, 'open': {'day': 1, 'time': '0730'}}, {'close': {'day': 2, 'time': '2000'}, 'open': {'day': 2, 'time': '0730'}}, {'close': {'day': 3, 'time': '2000'}, 'open': {'day': 3, 'time': '0730'}}, {'close': {'day': 4, 'time': '2000'}, 'open': {'day': 4, 'time': '0730'}}, {'close': {'day': 5, 'time': '2000'}, 'open': {'day': 5, 'time': '0730'}}, {'close': {'day': 6, 'time': '2000'}, 'open': {'day': 6, 'time': '0730'}}], 'weekday_text': ['Monday: 7:30\u202fAM\u2009–\u20098:00\u202fPM', 'Tuesday: 7:30\u202fAM\u2009–\u20098:00\u202fPM', 'Wednesday: 7:30\u202fAM\u2009–\u20098:00\u202fPM', 'Thursday: 7:30\u202fAM\u2009–\u20098:00\u202fPM', 'Friday: 7:30\u202fAM\u2009–\u20098:00\u202fPM', 'Saturday: 7:30\u202fAM\u2009–\u20098:00\u202fPM', 'Sunday: Closed']}, 'rating': 4.2, 'user_ratings_total': 194}",4.2,194.0,Small,Medium
Coop Supermarkt Kollbrunn,47.4565058,8.7736091,Dorfstrasse 8a,Zell,Coop,Winterthur,ChIJjzHS6o-XmkcR80CzsbKTNkI,"{'formatted_address': 'Dorfstrasse 8a, 8483 Zell, Switzerland', 'name': 'Coop Supermarkt Kollbrunn', 'opening_hours': {'open_now': True, 'periods': [{'close': {'day': 1, 'time': '2000'}, 'open': {'day': 1, 'time': '0730'}}, {'close': {'day': 2, 'time': '2000'}, 'open': {'day': 2, 'time': '0730'}}, {'close': {'day': 3, 'time': '2000'}, 'open': {'day': 3, 'time': '0730'}}, {'close': {'day': 4, 'time': '2000'}, 'open': {'day': 4, 'time': '0730'}}, {'close': {'day': 5, 'time': '2000'}, 'open': {'day': 5, 'time': '0730'}}, {'close': {'day': 6, 'time': '1800'}, 'open': {'day': 6, 'time': '0730'}}], 'weekday_text': ['Monday: 7:30\u202fAM\u2009–\u20098:00\u202fPM', 'Tuesday: 7:30\u202fAM\u2009–\u20098:00\u202fPM', 'Wednesday: 7:30\u202fAM\u2009–\u20098:00\u202fPM', 'Thursday: 7:30\u202fAM\u2009–\u20098:00\u202fPM', 'Friday: 7:30\u202fAM\u2009–\u20098:00\u202fPM', 'Saturday: 7:30\u202fAM\u2009–\u20096:00\u202fPM', 'Sunday: Closed']}, 'rating': 4.2, 'user_ratings_total': 385}",4.2,385.0,Medium,Medium
Coop Supermarkt Effretikon Watt,47.426901,8.6920444,Illnauerstrasse 16,Illnau-Effretikon,Coop,Pfäffikon,ChIJMwKOh3CimkcRyENgNR1KCJE,"{'formatted_address': 'Illnauerstrasse 16, 8307 Illnau-Effretikon, Switzerland', 'name': 'Coop Supermarkt Effretikon Watt', 'opening_hours': {'open_now': True, 'periods': [{'close': {'day': 1, 'time': '2000'}, 'open': {'day': 1, 'time': '0700'}}, {'close': {'day': 2, 'time': '2000'}, 'open': {'day': 2, 'time': '0700'}}, {'close': {'day': 3, 'time': '2000'}, 'open': {'day': 3, 'time': '0700'}}, {'close': {'day': 4, 'time': '2000'}, 'open': {'day': 4, 'time': '0700'}}, {'close': {'day': 5, 'time': '2000'}, 'open': {'day': 5, 'time': '0700'}}, {'close': {'day': 6, 'time': '2000'}, 'open': {'day': 6, 'time': '0700'}}], 'weekday_text': ['Monday: 7:00\u202fAM\u2009–\u20098:00\u202fPM', 'Tuesday: 7:00\u202fAM\u2009–\u20098:00\u202fPM', 'Wednesday: 7:00\u202fAM\u2009–\u20098:00\u202fPM', 'Thursday: 7:00\u202fAM\u2009–\u20098:00\u202fPM', 'Friday: 7:00\u202fAM\u2009–\u20098:00\u202fPM', 'Saturday: 7:00\u202fAM\u2009–\u20098:00\u202fPM', 'Sunday: Closed']}, 'rating': 4.2, 'user_ratings_total': 329}",4.2,329.0,Medium,Medium
Coop Pronto Shop Zürich-Stettbach Bahnhof,47.3972876,8.596333099999999,Dübendorfstrasse 447,Zürich,Coop,Zürich,ChIJHfeTnP6gmkcRybLRujGHF8g,"{'formatted_address': 'Dübendorfstrasse 447, 8051 Zürich, Switzerland', 'name': 'Coop Pronto Shop Zürich-Stettbach Bahnhof', 'opening_hours': {'open_now': True, 'periods': [{'close': {'day': 0, 'time': '2300'}, 'open': {'day': 0, 'time': '0600'}}, {'close': {'day': 1, 'time': '2300'}, 'open': {'day': 1, 'time': '0600'}}, {'close': {'day': 2, 'time': '2300'}, 'open': {'day': 2, 'time': '0600'}}, {'close': {'day': 3, 'time': '2300'}, 'open': {'day': 3, 'time': '0600'}}, {'close': {'day': 4, 'time': '2300'}, 'open': {'day': 4, 'time': '0600'}}, {'close': {'day': 5, 'time': '2300'}, 'open': {'day': 5, 'time': '0600'}}, {'close': {'day': 6, 'time': '2300'}, 'open': {'day': 6, 'time': '0600'}}], 'weekday_text': ['Monday: 6:00\u202fAM\u2009–\u200911:00\u202fPM', 'Tuesday: 6:00\u202fAM\u2009–\u200911:00\u202fPM', 'Wednesday: 6:00\u202fAM\u2009–\u200911:00\u202fPM', 'Thursday: 6:00\u202fAM\u2009–\u200911:00\u202fPM', 'Friday: 6:00\u202fAM\u2009–\u200911:00\u202fPM', 'Saturday: 6:00\u202fAM\u2009–\u200911:00\u202fPM', 'Sunday: 6:00\u202fAM\u2009–\u200911:00\u202fPM']}, 'rating': 4.1, 'user_ratings_total': 656}",4.1,656.0,Medium,Medium
Coop Supermarkt Kloten Marktgasse,47.4494847,8.5826868,Bahnhofstrasse 3,Kloten,Coop,Bülach,ChIJ96H-EgCfmkcR69wc22Si7m4,"{'formatted_address': 'Bahnhofstrasse 3, 8302 Kloten, Switzerland', 'name': 'Coop Supermarkt Kloten Marktgasse', 'opening_hours': {'open_now': True, 'periods': [{'close': {'day': 1, 'time': '2000'}, 'open': {'day': 1, 'time': '0700'}}, {'close': {'day': 2, 'time': '2000'}, 'open': {'day': 2, 'time': '0700'}}, {'close': {'day': 3, 'time': '2000'}, 'open': {'day': 3, 'time': '0700'}}, {'close': {'day': 4, 'time': '2000'}, 'open': {'day': 4, 'time': '0700'}}, {'close': {'day': 5, 'time': '2000'}, 'open': {'day': 5, 'time': '0700'}}, {'close': {'day': 6, 'time': '2000'}, 'open': {'day': 6, 'time': '0700'}}], 'weekday_text': ['Monday: 7:00\u202fAM\u2009–\u20098:00\u202fPM', 'Tuesday: 7:00\u202fAM\u2009–\u20098:00\u202fPM', 'Wednesday: 7:00\u202fAM\u2009–\u20098:00\u202fPM', 'Thursday: 7:00\u202fAM\u2009–\u20098:00\u202fPM', 'Friday: 7:00\u202fAM\u2009–\u20098:00\u202fPM', 'Saturday: 7:00\u202fAM\u2009–\u20098:00\u202fPM', 'Sunday: Closed']}, 'rating': 4, 'user_ratings_total': 49}",4.0,49.0,Small,Medium
Coop Supermarkt Effretikon Effimärt,47.4282208,8.6850655,Haldenstrasse 10,Illnau-Effretikon,Coop,Pfäffikon,ChIJ9egPo3OimkcRvJTna7VPhog,"{'formatted_address': 'Haldenstrasse 10, 8307 Illnau-Effretikon, Switzerland', 'name': 'Coop Supermarkt Effretikon Effimärt', 'opening_hours': {'open_now': True, 'periods': [{'close': {'day': 1, 'time': '1900'}, 'open': {'day': 1, 'time': '0730'}}, {'close': {'day': 2, 'time': '1900'}, 'open': {'day': 2, 'time': '0730'}}, {'close': {'day': 3, 'time': '1900'}, 'open': {'day': 3, 'time': '0730'}}, {'close': {'day': 4, 'time': '2000'}, 'open': {'day': 4, 'time': '0730'}}, {'close': {'day': 5, 'time': '2000'}, 'open': {'day': 5, 'time': '0730'}}, {'close': {'day': 6, 'time': '1900'}, 'open': {'day': 6, 'time': '0730'}}], 'weekday_text': ['Monday: 7:30\u202fAM\u2009–\u20097:00\u202fPM', 'Tuesday: 7:30\u202fAM\u2009–\u20097:00\u202fPM', 'Wednesday: 7:30\u202fAM\u2009–\u20097:00\u202fPM', 'Thursday: 7:30\u202fAM\u2009–\u20098:00\u202fPM', 'Friday: 7:30\u202fAM\u2009–\u20098:00\u202fPM', 'Saturday: 7:30\u202fAM\u2009–\u20097:00\u202fPM', 'Sunday: Closed']}, 'rating': 4, 'user_ratings_total': 171}",4.0,171.0,Small,Medium
Coop Supermarkt Opfikon,47.4284888,8.563879499999999,Talackerstrasse 68,Opfikon,Coop,Bülach,ChIJMbmY4gWgmkcRIb56rtzCKPk,"{'formatted_address': 'Talackerstrasse 68, 8152 Opfikon, Switzerland', 'name': 'Coop Supermarkt Opfikon', 'opening_hours': {'open_now': True, 'periods': [{'close': {'day': 1, 'time': '2000'}, 'open': {'day': 1, 'time': '0700'}}, {'close': {'day': 2, 'time': '2000'}, 'open': {'day': 2, 'time': '0700'}}, {'close': {'day': 3, 'time': '2000'}, 'open': {'day': 3, 'time': '0700'}}, {'close': {'day': 4, 'time': '2000'}, 'open': {'day': 4, 'time': '0700'}}, {'close': {'day': 5, 'time': '2000'}, 'open': {'day': 5, 'time': '0700'}}, {'close': {'day': 6, 'time': '2000'}, 'open': {'day': 6, 'time': '0700'}}], 'weekday_text': ['Monday: 7:00\u202fAM\u2009–\u20098:00\u202fPM', 'Tuesday: 7:00\u202fAM\u2009–\u20098:00\u202fPM', 'Wednesday: 7:00\u202fAM\u2009–\u20098:00\u202fPM', 'Thursday: 7:00\u202fAM\u2009–\u20098:00\u202fPM', 'Friday: 7:00\u202fAM\u2009–\u20098:00\u202fPM', 'Saturday: 7:00\u202fAM\u2009–\u20098:00\u202fPM', 'Sunday: Closed']}, 'rating': 4.2, 'user_ratings_total': 182}",4.2,182.0,Small,Medium
Coop Pronto Shop mit Tankstelle Kloten,47.4503837,8.5971724,Bassersdorferstrasse 113,Kloten,Coop,Bülach,ChIJuaXqEY6fmkcRAVHHECL3B7k,"{'formatted_address': 'Bassersdorferstrasse 113, 8302 Kloten, Switzerland', 'name': 'Coop Pronto Shop mit Tankstelle Kloten', 'opening_hours': {'open_now': True, 'periods': [{'close': {'day': 0, 'time': '2300'}, 'open': {'day': 0, 'time': '0530'}}, {'close': {'day': 1, 'time': '2300'}, 'open': {'day': 1, 'time': '0530'}}, {'close': {'day': 2, 'time': '2300'}, 'open': {'day': 2, 'time': '0530'}}, {'close': {'day': 3, 'time': '2300'}, 'open': {'day': 3, 'time': '0530'}}, {'close': {'day': 4, 'time': '2300'}, 'open': {'day': 4, 'time': '0530'}}, {'close': {'day': 5, 'time': '2300'}, 'open': {'day': 5, 'time': '0530'}}, {'close': {'day': 6, 'time': '2300'}, 'open': {'day': 6, 'time': '0530'}}], 'weekday_text': ['Monday: 5:30\u202fAM\u2009–\u200911:00\u202fPM', 'Tuesday: 5:30\u202fAM\u2009–\u200911:00\u202fPM', 'Wednesday: 5:30\u202fAM\u2009–\u200911:00\u202fPM', 'Thursday: 5:30\u202fAM\u2009–\u200911:00\u202fPM', 'Friday: 5:30\u202fAM\u2009–\u200911:00\u202fPM', 'Saturday: 5:30\u202fAM\u2009–\u200911:00\u202fPM', 'Sunday: 5:30\u202fAM\u2009–\u200911:00\u202fPM']}, 'rating': 4.3, 'user_ratings_total': 522}",4.3,522.0,Medium,Medium
Coop Pronto Shop Kemptthal Raststätte,47.44874369999999,8.6995585,Autobahnraststätte A1,Lindau,Coop,Pfäffikon,ChIJBRyEvY2YmkcRyhMX0T-mVTg,"{'formatted_address': 'Autobahnraststätte A1, 8310 Lindau, Switzerland', 'name': 'Coop Pronto Shop Kemptthal Raststätte', 'opening_hours': {'open_now': True, 'periods': [{'close': {'day': 0, 'time': '2200'}, 'open': {'day': 0, 'time': '0600'}}, {'close': {'day': 1, 'time': '2200'}, 'open': {'day': 1, 'time': '0600'}}, {'close': {'day': 2, 'time': '2200'}, 'open': {'day': 2, 'time': '0600'}}, {'close': {'day': 3, 'time': '2200'}, 'open': {'day': 3, 'time': '0600'}}, {'close': {'day': 4, 'time': '2200'}, 'open': {'day': 4, 'time': '0600'}}, {'close': {'day': 5, 'time': '2200'}, 'open': {'day': 5, 'time': '0600'}}, {'close': {'day': 6, 'time': '2200'}, 'open': {'day': 6, 'time': '0600'}}], 'weekday_text': ['Monday: 6:00\u202fAM\u2009–\u200910:00\u202fPM', 'Tuesday: 6:00\u202fAM\u2009–\u200910:00\u202fPM', 'Wednesday: 6:00\u202fAM\u2009–\u200910:00\u202fPM', 'Thursday: 6:00\u202fAM\u2009–\u200910:00\u202fPM', 'Friday: 6:00\u202fAM\u2009–\u200910:00\u202fPM', 'Saturday: 6:00\u202fAM\u2009–\u200910:00\u202fPM', 'Sunday: 6:00\u202fAM\u2009–\u200910:00\u202fPM']}, 'rating': 4.1, 'user_ratings_total': 103}",4.1,103.0,Small,Medium
Coop Pronto Shop mit Tankstelle Dietlikon,47.4130571,8.6168816,Erlenweg 1,Dietlikon,Coop,Bülach,ChIJV-l1YLqhmkcRj0Q2GJoMDlg,"{'formatted_address': 'Erlenweg 1, 8305 Dietlikon, Switzerland', 'name': 'Coop Pronto Shop mit Tankstelle Dietlikon', 'opening_hours': {'open_now': True, 'periods': [{'close': {'day': 0, 'time': '2300'}, 'open': {'day': 0, 'time': '0600'}}, {'close': {'day': 1, 'time': '2300'}, 'open': {'day': 1, 'time': '0600'}}, {'close': {'day': 2, 'time': '2300'}, 'open': {'day': 2, 'time': '0600'}}, {'close': {'day': 3, 'time': '2300'}, 'open': {'day': 3, 'time': '0600'}}, {'close': {'day': 4, 'time': '2300'}, 'open': {'day': 4, 'time': '0600'}}, {'close': {'day': 5, 'time': '2300'}, 'open': {'day': 5, 'time': '0600'}}, {'close': {'day': 6, 'time': '2300'}, 'open': {'day': 6, 'time': '0600'}}], 'weekday_text': ['Monday: 6:00\u202fAM\u2009–\u200911:00\u202fPM', 'Tuesday: 6:00\u202fAM\u2009–\u200911:00\u202fPM', 'Wednesday: 6:00\u202fAM\u2009–\u200911:00\u202fPM', 'Thursday: 6:00\u202fAM\u2009–\u200911:00\u202fPM', 'Friday: 6:00\u202fAM\u2009–\u200911:00\u202fPM', 'Saturday: 6:00\u202fAM\u2009–\u200911:00\u202fPM', 'Sunday: 6:00\u202fAM\u2009–\u200911:00\u202fPM']}, 'rating': 4.3, 'user_ratings_total': 192}",4.3,192.0,Small,Medium
ALDI SUISSE,47.4416895,8.8339348,Tösstalstrasse 11,Turbenthal,Aldi,Winterthur,ChIJ_ckoFBWWmkcRjquChExmE7o,"{'formatted_address': 'Tösstalstrasse 11, 8488 Turbenthal, Switzerland', 'name': 'ALDI SUISSE', 'opening_hours': {'open_now': True, 'periods': [{'close': {'day': 1, 'time': '2000'}, 'open': {'day': 1, 'time': '0730'}}, {'close': {'day': 2, 'time': '2000'}, 'open': {'day': 2, 'time': '0730'}}, {'close': {'day': 3, 'time': '2000'}, 'open': {'day': 3, 'time': '0730'}}, {'close': {'day': 4, 'time': '2000'}, 'open': {'day': 4, 'time': '0730'}}, {'close': {'day': 5, 'time': '2000'}, 'open': {'day': 5, 'time': '0730'}}, {'close': {'day': 6, 'time': '2000'}, 'open': {'day': 6, 'time': '0730'}}], 'weekday_text': ['Monday: 7:30\u202fAM\u2009–\u20098:00\u202fPM', 'Tuesday: 7:30\u202fAM\u2009–\u20098:00\u202fPM', 'Wednesday: 7:30\u202fAM\u2009–\u20098:00\u202fPM', 'Thursday: 7:30\u202fAM\u2009–\u20098:00\u202fPM', 'Friday: 7:30\u202fAM\u2009–\u20098:00\u202fPM', 'Saturday: 7:30\u202fAM\u2009–\u20098:00\u202fPM', 'Sunday: Closed']}, 'rating': 4.2, 'user_ratings_total': 567}",4.2,567.0,Medium,Medium
Denner Discount,47.4852907,8.7625727,Hinterdorfstrasse 40,Winterthur,Denner,Winterthur,ChIJ18Y3_dyZmkcRjqABITudrkU,"{'formatted_address': 'Hinterdorfstrasse 40, 8405 Winterthur, Switzerland', 'name': 'Denner Discount', 'opening_hours': {'open_now': True, 'periods': [{'close': {'day': 1, 'time': '2000'}, 'open': {'day': 1, 'time': '0800'}}, {'close': {'day': 2, 'time': '2000'}, 'open': {'day': 2, 'time': '0800'}}, {'close': {'day': 3, 'time': '2000'}, 'open': {'day': 3, 'time': '0800'}}, {'close': {'day': 4, 'time': '2000'}, 'open': {'day': 4, 'time': '0800'}}, {'close': {'day': 5, 'time': '2000'}, 'open': {'day': 5, 'time': '0800'}}, {'close': {'day': 6, 'time': '1900'}, 'open': {'day': 6, 'time': '0800'}}], 'weekday_text': ['Monday: 8:00\u202fAM\u2009–\u20098:00\u202fPM', 'Tuesday: 8:00\u202fAM\u2009–\u20098:00\u202fPM', 'Wednesday: 8:00\u202fAM\u2009–\u20098:00\u202fPM', 'Thursday: 8:00\u202fAM\u2009–\u20098:00\u202fPM', 'Friday: 8:00\u202fAM\u2009–\u20098:00\u202fPM', 'Saturday: 8:00\u202fAM\u2009–\u20097:00\u202fPM', 'Sunday: Closed']}, 'rating': 4.2, 'user_ratings_total': 167}",4.2,167.0,Small,Medium
Denner Discount,47.4283377,8.685635,Märtpl. 5,Illnau-Effretikon,Denner,Pfäffikon,ChIJn2tC6nOimkcReDmWMpDhm_I,"{'formatted_address': 'Märtpl. 5, 8307 Illnau-Effretikon, Switzerland', 'name': 'Denner Discount', 'opening_hours': {'open_now': True, 'periods': [{'close': {'day': 1, 'time': '1900'}, 'open': {'day': 1, 'time': '0800'}}, {'close': {'day': 2, 'time': '1900'}, 'open': {'day': 2, 'time': '0800'}}, {'close': {'day': 3, 'time': '1900'}, 'open': {'day': 3, 'time': '0800'}}, {'close': {'day': 4, 'time': '2000'}, 'open': {'day': 4, 'time': '0800'}}, {'close': {'day': 5, 'time': '2000'}, 'open': {'day': 5, 'time': '0800'}}, {'close': {'day': 6, 'time': '1900'}, 'open': {'day': 6, 'time': '0800'}}], 'weekday_text': ['Monday: 8:00\u202fAM\u2009–\u20097:00\u202fPM', 'Tuesday: 8:00\u202fAM\u2009–\u20097:00\u202fPM', 'Wednesday: 8:00\u202fAM\u2009–\u20097:00\u202fPM', 'Thursday: 8:00\u202fAM\u2009–\u20098:00\u202fPM', 'Friday: 8:00\u202fAM\u2009–\u20098:00\u202fPM', 'Saturday: 8:00\u202fAM\u2009–\u20097:00\u202fPM', 'Sunday: Closed']}, 'rating': 4.2, 'user_ratings_total': 91}",4.2,91.0,Small,Medium
ALDI SUISSE,47.4851041,8.763022399999999,Kanzleistrasse 23,Winterthur,Aldi,Winterthur,ChIJt-dqIvCZmkcRBmSgKTmfhnI,"{'formatted_address': 'Kanzleistrasse 23, 8405 Winterthur, Switzerland', 'name': 'ALDI SUISSE', 'opening_hours': {'open_now': True, 'periods': [{'close': {'day': 1, 'time': '2000'}, 'open': {'day': 1, 'time': '0800'}}, {'close': {'day': 2, 'time': '2000'}, 'open': {'day': 2, 'time': '0800'}}, {'close': {'day': 3, 'time': '2000'}, 'open': {'day': 3, 'time': '0800'}}, {'close': {'day': 4, 'time': '2000'}, 'open': {'day': 4, 'time': '0800'}}, {'close': {'day': 5, 'time': '2000'}, 'open': {'day': 5, 'time': '0800'}}, {'close': {'day': 6, 'time': '1900'}, 'open': {'day': 6, 'time': '0800'}}], 'weekday_text': ['Monday: 8:00\u202fAM\u2009–\u20098:00\u202fPM', 'Tuesday: 8:00\u202fAM\u2009–\u20098:00\u202fPM', 'Wednesday: 8:00\u202fAM\u2009–\u20098:00\u202fPM', 'Thursday: 8:00\u202fAM\u2009–\u20098:00\u202fPM', 'Friday: 8:00\u202fAM\u2009–\u20098:00\u202fPM', 'Saturday: 8:00\u202fAM\u2009–\u20097:00\u202fPM', 'Sunday: Closed']}, 'rating': 3.6, 'user_ratings_total': 9}",3.6,9.0,Small,Low
Migros-Supermarkt - Turbenthal,47.438686,8.8443798,Tösstalstrasse 54,Turbenthal,Migros,Winterthur,ChIJVZT8kw2WmkcRk7yErbaBdFY,"{'formatted_address': 'Tösstalstrasse 54, 8488 Turbenthal, Switzerland', 'name': 'Migros-Supermarkt - Turbenthal', 'opening_hours': {'open_now': True, 'periods': [{'close': {'day': 1, 'time': '2000'}, 'open': {'day': 1, 'time': '0800'}}, {'close': {'day': 2, 'time': '2000'}, 'open': {'day': 2, 'time': '0800'}}, {'close': {'day': 3, 'time': '2000'}, 'open': {'day': 3, 'time': '0800'}}, {'close': {'day': 4, 'time': '2000'}, 'open': {'day': 4, 'time': '0800'}}, {'close': {'day': 5, 'time': '2000'}, 'open': {'day': 5, 'time': '0800'}}, {'close': {'day': 6, 'time': '1900'}, 'open': {'day': 6, 'time': '0800'}}], 'weekday_text': ['Monday: 8:00\u202fAM\u2009–\u20098:00\u202fPM', 'Tuesday: 8:00\u202fAM\u2009–\u20098:00\u202fPM', 'Wednesday: 8:00\u202fAM\u2009–\u20098:00\u202fPM', 'Thursday: 8:00\u202fAM\u2009–\u20098:00\u202fPM', 'Friday: 8:00\u202fAM\u2009–\u20098:00\u202fPM', 'Saturday: 8:00\u202fAM\u2009–\u20097:00\u202fPM', 'Sunday: Closed']}, 'rating': 4.4, 'user_ratings_total': 552}",4.4,552.0,Medium,Medium
Coop Supermarkt Turbenthal,47.44005670000001,8.844311,Hofwiesweg 2,Turbenthal,Coop,Winterthur,ChIJq1Gcfg2WmkcR7QtH0q9rEKI,"{'formatted_address': 'Hofwiesweg 2, 8488 Turbenthal, Switzerland', 'name': 'Coop Supermarkt Turbenthal', 'opening_hours': {'open_now': True, 'periods': [{'close': {'day': 1, 'time': '1930'}, 'open': {'day': 1, 'time': '0730'}}, {'close': {'day': 2, 'time': '1930'}, 'open': {'day': 2, 'time': '0730'}}, {'close': {'day': 3, 'time': '1930'}, 'open': {'day': 3, 'time': '0730'}}, {'close': {'day': 4, 'time': '1930'}, 'open': {'day': 4, 'time': '0730'}}, {'close': {'day': 5, 'time': '1930'}, 'open': {'day': 5, 'time': '0730'}}, {'close': {'day': 6, 'time': '1800'}, 'open': {'day': 6, 'time': '0730'}}], 'weekday_text': ['Monday: 7:30\u202fAM\u2009–\u20097:30\u202fPM', 'Tuesday: 7:30\u202fAM\u2009–\u20097:30\u202fPM', 'Wednesday: 7:30\u202fAM\u2009–\u20097:30\u202fPM', 'Thursday: 7:30\u202fAM\u2009–\u20097:30\u202fPM', 'Friday: 7:30\u202fAM\u2009–\u20097:30\u202fPM', 'Saturday: 7:30\u202fAM\u2009–\u20096:00\u202fPM', 'Sunday: Closed']}, 'rating': 4.2, 'user_ratings_total': 186}",4.2,186.0,Small,Medium
Migros-Supermarkt - Wil SG,47.4626579,9.042737,Obere Bahnhofstrasse 5,Wil,Migros,Bülach,ChIJ5702c9DrmkcR4ryjyOQqtQ8,"{'formatted_address': 'Obere Bahnhofstrasse 5, 9500 Wil, Switzerland', 'name': 'Migros-Supermarkt - Wil SG', 'opening_hours': {'open_now': True, 'periods': [{'close': {'day': 1, 'time': '1900'}, 'open': {'day': 1, 'time': '0800'}}, {'close': {'day': 2, 'time': '2000'}, 'open': {'day': 2, 'time': '0800'}}, {'close': {'day': 3, 'time': '1900'}, 'open': {'day': 3, 'time': '0800'}}, {'close': {'day': 4, 'time': '1900'}, 'open': {'day': 4, 'time': '0800'}}, {'close': {'day': 5, 'time': '1900'}, 'open': {'day': 5, 'time': '0800'}}, {'close': {'day': 6, 'time': '1700'}, 'open': {'day': 6, 'time': '0800'}}], 'weekday_text': ['Monday: 8:00\u202fAM\u2009–\u20097:00\u202fPM', 'Tuesday: 8:00\u202fAM\u2009–\u20098:00\u202fPM', 'Wednesday: 8:00\u202fAM\u2009–\u20097:00\u202fPM', 'Thursday: 8:00\u202fAM\u2009–\u20097:00\u202fPM', 'Friday: 8:00\u202fAM\u2009–\u20097:00\u202fPM', 'Saturday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Sunday: Closed']}, 'rating': 4.3, 'user_ratings_total': 1186}",4.3,1186.0,Large,Medium
Coop Supermarkt Wil Stadtmarkt,47.4646192,9.045373,Obere Bahnhofstrasse 39,Wil,Coop,Bülach,ChIJUV7m9MLrmkcRdlPa3Lobn5A,"{'formatted_address': 'Obere Bahnhofstrasse 39, 9500 Wil, Switzerland', 'name': 'Coop Supermarkt Wil Stadtmarkt', 'opening_hours': {'open_now': True, 'periods': [{'close': {'day': 1, 'time': '1900'}, 'open': {'day': 1, 'time': '0800'}}, {'close': {'day': 2, 'time': '2000'}, 'open': {'day': 2, 'time': '0800'}}, {'close': {'day': 3, 'time': '1900'}, 'open': {'day': 3, 'time': '0800'}}, {'close': {'day': 4, 'time': '1900'}, 'open': {'day': 4, 'time': '0800'}}, {'close': {'day': 5, 'time': '1900'}, 'open': {'day': 5, 'time': '0800'}}, {'close': {'day': 6, 'time': '1700'}, 'open': {'day': 6, 'time': '0800'}}], 'weekday_text': ['Monday: 8:00\u202fAM\u2009–\u20097:00\u202fPM', 'Tuesday: 8:00\u202fAM\u2009–\u20098:00\u202fPM', 'Wednesday: 8:00\u202fAM\u2009–\u20097:00\u202fPM', 'Thursday: 8:00\u202fAM\u2009–\u20097:00\u202fPM', 'Friday: 8:00\u202fAM\u2009–\u20097:00\u202fPM', 'Saturday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Sunday: Closed']}, 'rating': 4.2, 'user_ratings_total': 773}",4.2,773.0,Medium,Medium
